q,n,mu1,mu2,MaxRank,MinMaxRank
8,5,2,0,84893927387297964805143439207630272954368,51502145908201449564047721198310902895633088100319156795334856580333568
8,5,2,1,84893927387297964805143439207630272954368,104549263926400709485651544264829660256861563099987181568
8,5,2,2,84893927387297964805143439207630272954368,104549263926400709485651544264829660256861563099987181568
8,5,2,3,84893927387297964805143439207630272954368,84893927387297964805143439207630272954368
8,5,2,4,84893927387297964805143439207630272954368,84893927387297964805143439207630272954368
8,5,3,0,1,14272476927059598810582293010517007006401822726
8,5,3,1,1,188894659314785808547836
8,5,3,2,1,188894659314785808547836
8,5,3,3,1,1
8,5,3,4,1,1
8,5,4,0,1,14272476927059598810582293010517007006401822726
8,5,4,1,1,188894659314785808547836
8,5,4,2,1,188894659314785808547836
8,5,4,3,1,1
8,5,4,4,1,1
9,5,0,0,41821869522226559630848749207846250550448217033883326829701569429993978380649,48413617618155337472677518195460480862378846345797530506202764519742953621668641476638081446249
9,5,0,1,41821869522226559630848749207846250550448217033883326829701569429993978380649,71146820001500469524507065334306982204520633966646129628746007122438609286147801510249
9,5,0,2,41821869522226559630848749207846250550448217033883326829701569429993978380649,71146820001500469524507065334306982204520633966646129628746007122438609286147801510249
9,5,0,3,41821869522226559630848749207846250550448217033883326829701569429993978380649,41821869522226559630848749207846250550448217033883326829701569429993978380649
9,5,0,4,41821869522226559630848749207846250550448217033883326829701569429993978380649,41821869522226559630848749207846250550448217033883326829701569429993978380649
9,5,1,0,15725410573088978552717436493507308320665449,426664655591452840861900734764700735349908794841852395540742714011091366249
9,5,1,1,15725410573088978552717436493507308320665449,129513289725429332755978938281363942580400482518800138662249
9,5,1,2,15725410573088978552717436493507308320665449,129513289725429332755978938281363942580400482518800138662249
9,5,1,3,15725410573088978552717436493507308320665449,15725410573088978552717436493507308320665449
9,5,1,4,15725410573088978552717436493507308320665449,15725410573088978552717436493507308320665449
9,5,2,0,15725410573088978552717436493507308320665449,426664655591452840861900734764700735349908794841852395540742714011091366249
9,5,2,1,15725410573088978552717436493507308320665449,129513289725429332755978938281363942580400482518800138662249
9,5,2,2,15725410573088978552717436493507308320665449,129513289725429332755978938281363942580400482518800138662249
9,5,2,3,15725410573088978552717436493507308320665449,15725410573088978552717436493507308320665449
9,5,2,4,15725410573088978552717436493507308320665449,15725410573088978552717436493507308320665449
9,5,3,0,1,5153775207320113310364600529186397349232243666281
9,5,3,1,1,3589489938459262943851241
9,5,3,2,1,3589489938459262943851241
9,5,3,3,1,1
9,5,3,4,1,1
9,5,4,0,1,5153775207320113310364600529186397349232243666281
9,5,4,1,1,3589489938459262943851241
9,5,4,2,1,3589489938459262943851241
9,5,4,3,1,1
9,5,4,4,1,1
2,6,0,0,272862900522927174517899826281559883776,2979807359822766354047689792529452608808968257536
2,6,0,1,272862900522927174517899826281559883776,2979807359822766354047689792529452608808968257536
2,6,0,2,272862900522927174517899826281559883776,44174477796313828279966956172103351328833536
2,6,0,3,272862900522927174517899826281559883776,44174477796313828279966956172103351328833536
2,6,0,4,272862900522927174517899826281559883776,272862900522927174517899826281559883776
2,6,0,5,272862900522927174517899826281559883776,272862900522927174517899826281559883776
2,6,1,0,272862900522927174517899826281559883776,2979807359822766354047689792529452608808968257536
2,6,1,1,272862900522927174517899826281559883776,2979807359822766354047689792529452608808968257536
2,6,1,2,272862900522927174517899826281559883776,44174477796313828279966956172103351328833536
2,6,1,3,272862900522927174517899826281559883776,44174477796313828279966956172103351328833536
2,6,1,4,272862900522927174517899826281559883776,272862900522927174517899826281559883776
2,6,1,5,272862900522927174517899826281559883776,272862900522927174517899826281559883776
2,6,2,0,3915101633817529000000,17595958692335766081609121943251600000
2,6,2,1,3915101633817529000000,17595958692335766081609121943251600000
2,6,2,2,3915101633817529000000,406615198022777888823446200000
2,6,2,3,3915101633817529000000,406615198022777888823446200000
2,6,2,4,3915101633817529000000,3915101633817529000000
2,6,2,5,3915101633817529000000,3915101633817529000000
2,6,3,0,3915101633817529000000,17595958692335766081609121943251600000
2,6,3,1,3915101633817529000000,17595958692335766081609121943251600000
2,6,3,2,3915101633817529000000,406615198022777888823446200000
2,6,3,3,3915101633817529000000,406615198022777888823446200000
2,6,3,4,3915101633817529000000,3915101633817529000000
2,6,3,5,3915101633817529000000,3915101633817529000000
2,6,4,0,1,70835497241395410763786
2,6,4,1,1,70835497241395410763786
2,6,4,2,1,412316860411
2,6,4,3,1,412316860411
2,6,4,4,1,1
2,6,4,5,1,1
2,6,5,0,1,70835497241395410763786
2,6,5,1,1,70835497241395410763786
2,6,5,2,1,412316860411
2,6,5,3,1,412316860411
2,6,5,4,1,1
2,6,5,5,1,1
3,6,0,0,38858606753836769261370978987755761302811757111811772920801,387685646417863259943956151706077995114378092642663532800557461274020810721
3,6,0,1,38858606753836769261370978987755761302811757111811772920801,387685646417863259943956151706077995114378092642663532800557461274020810721
3,6,0,2,38858606753836769261370978987755761302811757111811772920801,6012970787751986368353581928976735776300030663166526871127804874721
3,6,0,3,38858606753836769261370978987755761302811757111811772920801,6012970787751986368353581928976735776300030663166526871127804874721
3,6,0,4,38858606753836769261370978987755761302811757111811772920801,38858606753836769261370978987755761302811757111811772920801
3,6,0,5,38858606753836769261370978987755761302811757111811772920801,38858606753836769261370978987755761302811757111811772920801
3,6,1,0,38858606753836769261370978987755761302811757111811772920801,387685646417863259943956151706077995114378092642663532800557461274020810721
3,6,1,1,38858606753836769261370978987755761302811757111811772920801,387685646417863259943956151706077995114378092642663532800557461274020810721
3,6,1,2,38858606753836769261370978987755761302811757111811772920801,6012970787751986368353581928976735776300030663166526871127804874721
3,6,1,3,38858606753836769261370978987755761302811757111811772920801,6012970787751986368353581928976735776300030663166526871127804874721
3,6,1,4,38858606753836769261370978987755761302811757111811772920801,38858606753836769261370978987755761302811757111811772920801
3,6,1,5,38858606753836769261370978987755761302811757111811772920801,38858606753836769261370978987755761302811757111811772920801
3,6,2,0,346263258106730799876626651987649,1666323066885158128002458252819965910624699619211658481633
3,6,2,1,346263258106730799876626651987649,1666323066885158128002458252819965910624699619211658481633
3,6,2,2,346263258106730799876626651987649,1176761441446467702016413943295863727946651873
3,6,2,3,346263258106730799876626651987649,1176761441446467702016413943295863727946651873
3,6,2,4,346263258106730799876626651987649,346263258106730799876626651987649
3,6,2,5,346263258106730799876626651987649,346263258106730799876626651987649
3,6,3,0,346263258106730799876626651987649,1666323066885158128002458252819965910624699619211658481633
3,6,3,1,346263258106730799876626651987649,1666323066885158128002458252819965910624699619211658481633
3,6,3,2,346263258106730799876626651987649,1176761441446467702016413943295863727946651873
3,6,3,3,346263258106730799876626651987649,1176761441446467702016413943295863727946651873
3,6,3,4,346263258106730799876626651987649,346263258106730799876626651987649
3,6,3,5,346263258106730799876626651987649,346263258106730799876626651987649
3,6,4,0,1,337925993174087612575330970993610721
3,6,4,1,1,337925993174087612575330970993610721
3,6,4,2,1,900567811781994721
3,6,4,3,1,900567811781994721
3,6,4,4,1,1
3,6,4,5,1,1
3,6,5,0,1,337925993174087612575330970993610721
3,6,5,1,1,337925993174087612575330970993610721
3,6,5,2,1,900567811781994721
3,6,5,3,1,900567811781994721
3,6,5,4,1,1
3,6,5,5,1,1
4,6,0,0,14409492330069985778053238734374822506712581439074286548989339159647748096,1980811222516369570880752889346711496372580980231493091123416420155454063102919885841336631296
4,6,0,1,14409492330069985778053238734374822506712581439074286548989339159647748096,1980811222516369570880752889346711496372580980231493091123416420155454063102919885841336631296
4,6,0,2,14409492330069985778053238734374822506712581439074286548989339159647748096,261728794522288430927555106177801074969150255763454700527436624335034077432351031296
4,6,0,3,14409492330069985778053238734374822506712581439074286548989339159647748096,261728794522288430927555106177801074969150255763454700527436624335034077432351031296
4,6,0,4,14409492330069985778053238734374822506712581439074286548989339159647748096,14409492330069985778053238734374822506712581439074286548989339159647748096
4,6,0,5,14409492330069985778053238734374822506712581439074286548989339159647748096,14409492330069985778053238734374822506712581439074286548989339159647748096
4,6,1,0,14409492330069985778053238734374822506712581439074286548989339159647748096,1980811222516369570880752889346711496372580980231493091123416420155454063102919885841336631296
4,6,1,1,14409492330069985778053238734374822506712581439074286548989339159647748096,1980811222516369570880752889346711496372580980231493091123416420155454063102919885841336631296
4,6,1,2,14409492330069985778053238734374822506712581439074286548989339159647748096,261728794522288430927555106177801074969150255763454700527436624335034077432351031296
4,6,1,3,14409492330069985778053238734374822506712581439074286548989339159647748096,261728794522288430927555106177801074969150255763454700527436624335034077432351031296
4,6,1,4,14409492330069985778053238734374822506712581439074286548989339159647748096,14409492330069985778053238734374822506712581439074286548989339159647748096
4,6,1,5,14409492330069985778053238734374822506712581439074286548989339159647748096,14409492330069985778053238734374822506712581439074286548989339159647748096
